run_id,data_source,trade_id,ticker_a,ticker_b,basket,feat_vol,feat_pnl_proxy,feat_abs_entry_z,feat_confidence,feat_exit_z,feat_velocity,feat_bars_held,feat_half_life,label
20260924T121553Z,alpaca_live_path_harvest,1,AAPL,MSFT,mag7,3.0015378941331576,0.0,1.9661521588592863,0.6090933414877104,-1.9661521588592863,-1.7808393584771807,0.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,2,AAPL,MSFT,mag7,3.1415554695438983,0.8579862523003239,1.9661521588592863,0.6120817768750146,-1.1081659065589624,-0.7641774671179178,1.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,3,AAPL,MSFT,mag7,3.233670243372305,2.3690161059168116,1.9661521588592863,0.6097474859872407,0.4028639470575251,0.13438138894634905,2.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,4,AAPL,MSFT,mag7,3.211934283910654,1.890768116857764,1.9661521588592863,0.660555451419807,-0.07538404200152231,-1.0695653639501643,3.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,5,AAPL,MSFT,mag7,3.1723438424897097,2.4225507079460966,1.9661521588592863,0.6600796111111505,0.45639854908681016,1.1448954340916657,4.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,6,AAPL,MSFT,mag7,3.405607791442186,2.988058028980425,1.9661521588592863,0.6536028549891072,1.0219058701211388,2.4931346588599923,5.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,7,AAPL,MSFT,mag7,3.6180314967649507,3.128731531102984,1.9661521588592863,0.6365776048990218,1.162579372243698,1.9772786363631667,6.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,8,AAPL,MSFT,mag7,3.620072708091581,1.7741037812680585,1.9661521588592863,0.6365886368350242,-0.19204837759122784,-0.4268289151981435,7.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,9,AAPL,MSFT,mag7,3.79270422885534,0.8482838998807771,1.9661521588592863,0.6307973794593738,-1.1178682589785092,-0.7980300871509428,8.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,10,AAPL,MSFT,mag7,4.068647369999495,0.5405509357189884,1.9661521588592863,0.6224536058306022,-1.425601223140298,-1.5721439479614616,9.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,11,AAPL,MSFT,mag7,4.465284517037984,3.5567778630772056,1.9661521588592863,0.6011319076960489,1.5906257042179193,0.4579836694294954,10.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,12,AAPL,MSFT,mag7,4.526171525352131,1.2613395957774605,1.9661521588592863,0.5999326926958019,-0.7048125630818258,-1.6482170342013887,11.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,13,AAPL,MSFT,mag7,4.974013349846373,0.034788213986168826,1.9661521588592863,0.575370531515297,-1.9313639448731175,-1.6375927372187449,12.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,14,AAPL,MSFT,mag7,4.972479729760808,3.26090811892509,1.9661521588592863,0.5658189805311616,1.2947559600658034,1.8640077639367008,13.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,15,AAPL,MSFT,mag7,4.937628427069058,1.4214458541987638,1.9661521588592863,0.5642788604164609,-0.5447063046605225,0.6372354109814466,14.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,16,AAPL,MSFT,mag7,4.541276211038098,1.4937299863438889,1.9661521588592863,0.5639190561677078,-0.47242217251539737,-1.8005027945878056,15.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,17,AAPL,MSFT,mag7,8.386121332209077,6.554123023810563,1.9661521588592863,0.4301463841488564,4.587970864951276,6.113323701674193,16.0,0.6666666666666666,0
20260924T121553Z,alpaca_live_path_harvest,18,AAPL,MSFT,mag7,8.39063950075117,2.398129464043536,1.9661521588592863,0.4297480144276481,0.4319773051842497,2.25113011207506,17.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,19,AAPL,MSFT,mag7,9.028570626443374,4.249621826963809,1.9661521588592863,0.4121985124475486,2.2834696681045226,1.9922718010124698,18.0,0.6666666666666666,0
20260924T121553Z,alpaca_live_path_harvest,20,AAPL,MSFT,mag7,9.095799313969529,2.9727968538714276,1.9661521588592863,0.4119336551035876,1.0066446950121413,1.9658397539257748,19.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,21,AAPL,MSFT,mag7,9.104322681276779,2.609913477667889,1.9661521588592863,0.42123982723266234,0.6437613188086025,1.4804036230212774,20.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,22,AAPL,MSFT,mag7,9.461479081066281,3.7555599826016777,1.9661521588592863,0.41675919298498415,1.7894078237423914,-2.859713356462265,21.0,0.6666666666666666,0
20260924T121553Z,alpaca_live_path_harvest,23,AAPL,MSFT,mag7,9.564198426106392,1.3200469343158776,1.9661521588592863,0.41332013222669145,-0.6461052245434087,-1.136802078855618,22.0,0.6666666666666666,1
20260924T121553Z,alpaca_live_path_harvest,24,AAPL,MSFT,mag7,10.207721648581048,0.08041435647726747,1.9661521588592863,0.39516090057819336,-1.8857378023820188,-5.413160682809968,23.0,0.6666666666666666,1
